City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zarah sharan,33.1467,68.7917,35.1,43,0,0.76,AF,1732663498
1,port-aux-francais,-49.35,70.2167,38.05,74,71,32.44,TF,1732663498
2,grytviken,-54.2811,-36.5092,32.86,96,100,11.14,GS,1732663498
3,waitangi,-43.9535,-176.5597,54.03,77,100,16.4,NZ,1732663392
4,bilibino,68.0546,166.4372,-24.21,94,6,4.14,RU,1732663498
5,soio,-6.1349,12.3689,76.75,89,100,6.17,AO,1732663498
6,constantia,44.1833,28.65,38.08,66,52,6.22,RO,1732663498
7,saint-louis,16.3333,-15.0,81.9,12,1,8.77,SN,1732663498
8,ancud,-41.8697,-73.8203,53.51,75,9,7.27,CL,1732663499
9,ilulissat,69.2167,-51.1,14.02,67,100,6.91,GL,1732663499
10,horsham,51.064,-0.3272,44.87,85,75,6.91,GB,1732663499
11,papatowai,-46.5619,169.4708,53.85,87,100,7.29,NZ,1732663499
12,zhosaly,45.4878,64.0781,35.55,66,0,7.87,KZ,1732663499
13,puerto natales,-51.7236,-72.4875,58.42,55,51,7.23,CL,1732663499
14,ribeira grande,38.5167,-28.7,67.77,93,100,23.0,PT,1732663499
15,margaret river,-33.95,115.0667,55.89,66,16,6.6,AU,1732663500
16,reggane,26.7158,0.1714,69.15,27,6,11.5,DZ,1732663500
17,badger,64.8,-147.5333,10.27,82,100,4.61,US,1732663500
18,princeville,45.7668,-61.2985,42.31,97,100,0.0,CA,1732663500
19,concepcion del oro,24.6333,-101.4167,70.34,21,18,4.05,MX,1732663500
20,laguna,38.421,-121.4238,62.11,67,75,6.91,US,1732663500
21,lagunas,-5.2269,-75.6753,81.46,71,80,2.28,PE,1732663500
22,blackmans bay,-43.0167,147.3167,66.72,85,100,1.99,AU,1732663500
23,port elizabeth,-33.918,25.5701,64.69,85,0,27.63,ZA,1732663500
24,ayorou,14.7308,0.9174,75.72,18,100,9.44,NE,1732663500
25,ambon,-3.6954,128.1814,87.89,100,40,4.61,ID,1732663501
26,kuraymah,18.55,31.85,58.6,36,39,11.72,SD,1732663501
27,tolanaro,-25.0319,46.9987,78.87,69,20,20.71,MG,1732663501
28,anapa,44.8908,37.3239,37.74,93,75,13.42,RU,1732663501
29,darwin,-12.4611,130.8418,87.94,78,40,5.75,AU,1732663324
30,ebon,4.582,168.6964,83.19,77,90,18.48,MH,1732663501
31,sitka,57.0531,-135.33,40.89,93,75,8.05,US,1732663353
32,iskateley,67.6803,53.1512,36.48,99,100,24.47,RU,1732663501
33,alice springs,-23.7,133.8833,74.75,64,30,8.05,AU,1732663501
34,adamstown,-25.066,-130.1015,72.73,82,79,19.89,PN,1732663501
35,tual,-5.6667,132.75,84.36,71,37,3.85,ID,1732663502
36,atafu village,-8.5421,-172.5159,83.91,70,30,17.96,TK,1732663502
